Column1;Date;Case Number;ItemInCase;Language;Country;Repairability Index;Size;Model name;Year;General condition;Wash;Fabric;Fabric failure - Membrane delamination;Fabric failure - Leak through;Fabric failure - Wetting out;Fabric failure - Down leakage;Fabric failure - Fading;Fabric failure - Pilling;Fabric torn - Rips - Patchable;Fabric torn - Rips - Not patchable - 1 panel;Fabric torn - Rips - Not patchable - X panels;Fabric torn - Abrasion - Light;Fabric torn - Abrasion - Heavy - 1 panel;Fabric torn - Abrasion - Heavy - X panels;Fabric torn - Burn - Patchable - ;Fabric torn - Burn - Not patchable - 1 panel;Fabric torn - Burn - Not patchable - X panels;Fabric torn - Stain;Fabric torn - Membrane contamination - Light;Fabric torn - Membrane contamination - Heavy;Zipper failure - Zipper structureMain;Zipper failure - Zipper structureAll except main;Zipper failure - Zipper slider;Delamination - Press;Delamination - 70D Nylon;Delamination - Seam tape;Seam failure - Seam sewn non-WBW Membrane;Delamination - Seam sewn WBW Membrane;Delamination - Seam laminated;Other - Buckle;Known_issue;Repair solution;Repair Threshold;Customer Offer;Product_type;reasonofissue;Age;Repair Threshold Status;typeoffailure;misusetype
190;11/21/19;700876;1;EN;Australia;10;M;Atlantis sl hybrid jacket women;2012;2_Good;No;WBW 2L Membrane;;;;;;;;;;;;;;;;;;;;;;;all,;neck;;;;;No;Yes;5;Replacement;shell;manufacturing_issue;7;below;construction_failure;notmisused
115;11/8/19;701097;1;EN;Australia;10;XL;Levantine ar jacket men;2011;2_Good;No;K Fleece;;;;;;;;;;;;;;;;;;;;;;;hem dra cord, ;;;;;;No;Yes;3;Repair;shell;manufacturing_issue;8;below;construction_failure;notmisused
249;11/29/19;701113;1;EN;Australia;10;M;Ionian ar jacket men;2007;2_Good;No;WBW 3L Membrane;hood, ;;;;;;;;;;;;;;;;;everywhere, ;main zipper, ;;;neck pad, hood facing, all zippers, pocket bags, laminated pockets,;all, including inner pocket donuts;pocket bags donuts, neck, ;;;;;No;Yes;1011;30% Discount;shell;manufacturing_issueANDmisuse;12;above;fabric_failureANDconstruction_failure;contaminated
187;11/21/19;701144;1;EN;Australia;10;M;Laccadive women;2017;2_Good;No;K Fleece;;;;;;;;;;;;;;;;;;;main zipper, ;;;;;;;;;;No;Yes;3;Repair;shell;manufacturing_issue;2;below;construction_failure;notmisused
152;11/15/19;701199;1;EN;Australia;10;L;Mediterranean lt women;2010;1_Used;Yes;K Fleece;;;;;;;;;;;;;;;;;;;;;main zipper,;;;;;;;;No;Yes;1;Repair;shell;manufacturing_issue;9;below;construction_failure;notmisused
184;11/21/19;701300;1;EN;Australia;10;LK;Boreal sl jacket men;2011;2_Good;No;WBW 2L Membrane;;;;;;;;;;;;;;;;;;;;;;;all,;neck, ;;;;;No;Yes;5;Replacement;shell;manufacturing_issue;8;below;construction_failure;notmisused
112;11/8/19;701312;1;EN;Australia;10;XXL;Adreatic jacket men;2006;3_Excellent;No;WBW 3L Membrane;;;;;;;;;;;;;;;;;;;main zipper, ;left arm pit;;laminated pocket left, hood facing,;all, ;both cuffs, ;;;;;No;Yes;13;Repair;shell;manufacturing_issue;13;above;construction_failure;notmisused
106;11/7/19;701315;1;EN;Australia;10;M;Boreal sl jacket men;2015;2_Good;No;WBW 2L Membrane;neck, ;;;;;;;;;;;;;;;;;;;;;;all, ;;;;;;No;Yes;1003;Replacement;shell;manufacturing_issue;4;above;fabric_failureANDconstruction_failure;notmisused
157;11/18/19;701418;1;EN;Australia;10;S;Atlantis sv jacket women;2012;2_Good;No;WBW 3L Membrane;;;;;;;;;;;;;;;;;;;;;;hood facing, ;All, including donuts inside pockets, ;;;;;;No;Yes;6;Repair;shell;manufacturing_issue;7;below;construction_failure;notmisused
225;11/27/19;701455;1;EN;Australia;10;XS;Boreal sl jacket women;2011;2_Good;No;WBW 2L Membrane;;;;;;;;;;;;;;;;;;;;;;;neck, ;;;;;;No;Yes;3;Replacement;shell;manufacturing_issue;8;below;construction_failure;notmisused
186;11/21/19;701976;1;EN;Australia;10;M;Boreal ar jacket women;2010;1_Used;No;WBW 3L Membrane;delamination at neck, ;;;;;;;;;;;;;;;;;neck, colar,;;;;laminated pocket, ;al, ;neck,  pocket bag donuts, ;;;;;No;Yes;1008;30% Discount;shell;manufacturing_issueANDmisuse;9;above;fabric_failureANDconstruction_failure;contaminated
110;11/8/19;702363;1;EN;Australia;10;L;Barasc jacket men;2009;2_Good;No;WBW 3L Membrane;Gore delam arm pit, ;;;;;;;;;;;;;;;;;;main zipper, ;;;all pocket zippers, pocket bags, ;all, ;pocket bags donuts, ;;;;;No;Yes;1011;30% Discount;shell;manufacturing_issue;10;above;fabric_failureANDconstruction_failure;notmisused
109;11/8/19;702370;1;EN;Australia;10;L;Atlantis fl jacket men;2012;2_Good;No;WBW 3L Membrane;hood, neck, ;;;;;;;;;;;;;;;;;;;;;;;;;;;;No;Yes;1000;Replacement;shell;manufacturing_issue;7;above;fabric_failure;notmisused
181;11/20/19;702738;1;EN;Australia;10;M;Boreal sl jacket women;2012;2_Good;No;WBW 2L Membrane;;;;;;;;;;;;;;;;;;;;;;;all, ;;;;;;No;Yes;3;Replacement;shell;manufacturing_issue;7;below;construction_failure;notmisused
130;11/13/19;702915;1;EN;Australia;10;S;Atlantis sl jacket men;2009;2_Good;No;WBW 2L Membrane;;;;;;;;;;;;;;;;;;;;;;;all,;;;;;;No;Yes;3;Replacement;shell;manufacturing_issue;10;below;construction_failure;notmisused
116;11/8/19;702979;1;EN;Australia;10;XL;Atlantis sl jacket women;2009;2_Good;No;WBW 2L Membrane;;;;;;;;;;;;;;;;;;;;;;;all, ;neck,;;;;;No;Yes;5;Replacement;shell;manufacturing_issue;10;below;construction_failure;notmisused
119;11/12/19;702983;1;EN;Australia;10;L;Boreal sl jacket women;2011;2_Good;No;WBW 2L Membrane;;;;;;;;;;;;;;;;;;;;;;neck pad, ;;neck,;;;;;No;Yes;5;Replacement;shell;manufacturing_issue;8;below;construction_failure;notmisused
123;11/12/19;702986;1;EN;Australia;10;L;Boreal ar jacket men;2010;2_Good;No;K Fleece;;;;;;;;;;;;;;;;back, ;neck;;;;;right pocket bag, neck pad, hood facing, ;all, ;both cuffs, neck, pocket bag donuts, ;;;;;No;Yes;8;Repair;shell;manufacturing_issueANDmisuse;9;below;construction_failure;contaminated
151;11/15/19;702989;1;EN;Australia;10;M;Atlantis sv jacket women;2012;2_Good;No;WBW 3L Membrane;back, neck , shoulders,;;;;;;;;;;;;;;;;;;;;;;;neck, ;;;;;No;Yes;1002;Replacement;shell;manufacturing_issue;7;above;fabric_failureANDconstruction_failure;notmisused
147;11/15/19;703017;1;EN;Australia;10;S;Labrador ar jacket women;2006;2_Good;No;WBW 3L Membrane;;;;;;;;;;;;;;;;;;;main zipper, ;;;lining both cuffs, hood facing, hem drewcord, laminated pocket, all pokcet zippers, ;All 70D,  powder skirt,;both cuffs, neck, hood garage, pocket bags donuts, ;;;;;No;Yes;11;30% Discount;shell;manufacturing_issue;13;above;construction_failure;notmisused
108;11/8/19;703022;1;EN;Australia;10;L;Boreal ar jacket men;2007;2_Good;No;WBW 3L Membrane;arm pits, ;;;;;;;;;;;;;;;;all over,;;;;;all zippers, neck pad, hood facing, lam pocket, pocket bags, ;all, ;neck, logo,;;;;;No;Yes;1008;30% Discount;shell;manufacturing_issueANDmisuse;12;above;fabric_failureANDconstruction_failure;contaminated
102;11/7/19;703241;1;EN;Australia;10;S;Boreal ar jacket women;2006;2_Good;No;WBW 3L Membrane;;;;;;;;;;;;;;;;;;;main zipper, ;;;al zippers, pocket bags, neck pad, laminated pocket, hood facing. ;all, ;both cuffs, pocket bags and arm pit donuts, ;;;;;No;Yes;11;30% Discount;shell;manufacturing_issue;13;above;construction_failure;notmisused
283;12/5/19;703265;1;EN;Australia;10;L;Boreal lt hybrid jacket women;2013;2_Good;No;WBW 2L Membrane;;left shoulder, right shoulder, ;;;;;;;;;;;;;;;;;;;;;;;;;;;No;Yes;1000;Replacement;shell;manufacturing_issue;6;above;fabric_failure;notmisused
127;11/13/19;703296;1;EN;Australia;10;M;Boreal lt jacket women;2009;2_Good;No;WBW 3L Membrane;;;;;;;;;;;;;;;;;neck, ;;;;;laminated pocket inside right hand pocket, laminated pocket, ;all, ;both cuffs, donut pocket bags, ;;;;;No;Yes;8;Repair;shell;manufacturing_issueANDmisuse;10;below;construction_failure;contaminated
240;11/28/19;703306;1;EN;Australia;10;M;Boreal lt jacket women;2009;2_Good;No;WBW 3L Membrane;;;;;;;;;;;;;;;;;;;;;;right pocket bag, left pocket bag, all zippers,;all 70D,;neck, pocket bag donuts, arm pit zips donuts, both cuffs, collar garage,;;;;;No;Yes;8;Repair;shell;manufacturing_issue;10;below;construction_failure;notmisused
191;11/21/19;703391;1;EN;Australia;10;M;Molucca lt hybrid jacket men;2015;2_Good;No;WBW 2L Membrane;;;;;;;;;;;;;;;;;;;;;;arm pit zips,;all, ;;;;;;No;Yes;6;Replacement;shell;manufacturing_issue;4;below;construction_failure;notmisused
156;11/18/19;703413;1;EN;Australia;10;XL;Boreal sl jacket men;2017;2_Good;No;WBW 2L Membrane;;;;;;;;;;;;;;;;;;;main zipper, ;;;;;;;;;;No;Yes;3;Replacement;shell;manufacturing_issue;2;below;construction_failure;notmisused
126;11/13/19;703532;1;EN;Australia;10;M;Ionian ar jacket women;2008;1_Used;No;WBW 3L Membrane;;;;;;;;;;;;;;;;;;neck, ;main zipper, both cuffs lining, ;;;all pocket zippers, arm pit, ;all including donuts inside pockets, ;both cuffs, laminated pocket, arm pit donuts, neck, ;;;;;No;Yes;11;30% Discount;shell;manufacturing_issueANDmisuse;11;above;construction_failure;contaminated
193;11/22/19;703604;1;EN;Australia;10;L;Boreal ar jacket men;2007;2_Good;No;WBW 3L Membrane;;;;;;;;;;;;;;;;;neck, ;;;;;;all, ;both cuffs, pocket bag donuts, ;;;;;No;Yes;5;Repair;shell;manufacturing_issueANDmisuse;12;below;construction_failure;contaminated
182;11/21/19;703607;1;EN;Australia;10;S;Mediterranean sv women;2013;2_Good;No;K Fleece;;;;;;;;;left lower back,  let cuff, ;;;;;;;;;;;;;;;;both cuffs, ;;;;No;Yes;6;50% Discount;shell;manufacturing_issueANDmisuse;6;below;construction_failure;damaged
713;2/12/20;703652;1;EN;Australia;2;M;Ionian ar jacket men;2006;2_Good;No;WBW 3L Membrane;;;;;;;;;;;left top front panel, ;;;;;;;;main zipper, ;;;cuffs lining, pocket bags, lam pocket, hood cord tunnel, neck pad, ;all, ;cuffs, neck, ;;;;;No;No;14;30% Discount;shell;manufacturing_issueANDmisuse;14;above;construction_failure;damaged
216;11/26/19;703742;1;EN;Australia;10;S;Boreal ar jacket women;2011;2_Good;No;WBW 3L Membrane;neck, right shoulder, right cuff, left shoulder, left cuff, ;;;;;;;;;;;;;;;;;;main zipper,;;;;;;;;;;No;Yes;1003;Replacement;shell;manufacturing_issue;8;above;fabric_failureANDconstruction_failure;notmisused
215;11/26/19;704083;1;EN;Australia;10;M;Boreal ar jacket men;2016;2_Good;No;WBW 3L Membrane;neck, shoulders, ;;;;;;;;;;;;;;;;;;;;;;;;;;;;No;Yes;1000;Replacement;shell;manufacturing_issue;3;above;fabric_failure;notmisused
228;11/27/19;704498;1;EN;Australia;10;M;Boreal sl jacket men;2011;2_Good;No;WBW 2L Membrane;;;;;;;;;;;;;;;;;;;;;;;hang tag, hem drawcord, ;hood cord tunnel, neck, ;;;;;No;Yes;5;Replacement;shell;manufacturing_issue;8;below;construction_failure;notmisused
103;11/7/19;704571;1;EN;Australia;10;S;Bering ar jacket women;2003;1_Used;No;WBW 3L Membrane;pocket, font panls, ;;;;;;;left pocket,;;;;;;;;;;;main zipper,;;;;;;;;;;No;Yes;1006;30% Discount;shell;manufacturing_issueANDmisuse;16;above;fabric_failureANDconstruction_failure;damaged
158;11/18/19;704580;1;EN;Australia;10;L;Mediterranean lt women;2012;2_Good;No;K Fleece;;;;;;;;riht arm, ;;;;;;;;;;;;MAIN ZIPPER SLIDER;;;;;tuck and saw both cuffsand pockets ends, ;;;;No;Yes;5;Repair;shell;manufacturing_issueANDmisuse;7;below;construction_failure;damaged
170;11/19/19;704699;1;EN;Australia;10;M;Ionian ar jacket women;2006;3_Excellent;No;WBW 3L Membrane;;;;;;;;;;;;;;;;;;;main zipper, ;;;lining at both cuffs, all pocket zippers, ;all, ;boh cuffs, at neck, ;;;;;No;Yes;11;Repair;shell;manufacturing_issue;13;above;construction_failure;notmisused
180;11/20/19;704704;1;EN;Australia;10;L;Molucca lt jacket men;2015;2_Good;No;WBW 3L Membrane;;back, shoulders, ;;;;;;;;;;;;;;;;;;;;;;;;;;;No;Yes;1000;Replacement;shell;manufacturing_issue;4;above;fabric_failure;notmisused
133;11/13/19;704865;1;EN;Australia;10;S;Labrador ar jacket men;2006;2_Good;No;WBW 3L Membrane;;;;;;;;;;;;;;;;;;;main zipper, ;;;all pocket zippers, pocket bags, ;powder skirt, ;inside collar, pocket bags donuts, left cuff, ;;;;;No;Yes;11;30% Discount;shell;manufacturing_issue;13;above;construction_failure;notmisused
131;11/13/19;705084;1;EN;Australia;10;XL;Atlantis lt jacket leaf men;2015;2_Good;No;WBW 3L Membrane;;;;;;;;;right arm, ;front panels, ;left side panel, ;;;;;;;;;;;left arm pit zipper, ;;;;;;;No;No;12;50% Discount;shell;manufacturing_issueANDmisuse;4;above;construction_failure;damaged
175;11/20/19;705479;1;EN;Australia;10;XL;Ionian ar jacket women;2009;2_Good;No;WBW 3L Membrane;;;;;;;;;;;hood, ;;;;;;;;;;;both cuffs, laminated pocket, bpocket bags, ;all,;both cuffs, pocket bag donuts,;;;;;No;No;11;50% Discount;shell;manufacturing_issueANDmisuse;10;above;construction_failure;damaged
174;11/20/19;705484;1;EN;Australia;10;S;Red parka women;2012;2_Good;No;K Fleece;;;;;;;;;;;;;;;;;;;main zipper;;;;;;;;;;No;Yes;3;Repair;shell;manufacturing_issue;7;below;construction_failure;notmisused
176;11/20/19;705647;1;EN;Australia;10;S;Boreal ar jacket men;2015;2_Good;No;WBW 3L Membrane;arm pit, neck, ;;;;;;;;;;;;;;;;neck, ;;;;;neck pad, ;neck, ;;;;;;No;Yes;1006;Replacement;shell;manufacturing_issueANDmisuse;4;above;fabric_failureANDconstruction_failure;contaminated
479;1/9/20;705649;1;EN;Australia;10;L;Ionian ar jacket men;2008;2_Good;No;WBW 3L Membrane;;;;;;;;;;;;;;;;;;;main zipper, ;;;cuffs lining, all zippers, hood facing, pocket bags, lam pocket, ;all, including donuts inside pockets,;cuffs, neck, ;;;;;No;Yes;11;30% Discount;shell;manufacturing_issue;12;above;construction_failure;notmisused
134;11/14/19;705747;1;EN;Australia;10;S;Boreal sl jacket men;2013;2_Good;No;WBW 2L Membrane;;;;;;;;;;;;;;;;;;;;;;hood facing, ;;neck,;;;;;No;Yes;5;Replacement;shell;manufacturing_issue;6;below;construction_failure;notmisused
480;1/9/20;705771;1;EN;Australia;10;XS;Boreal ar jacket women;2011;2_Good;No;WBW 3L Membrane;arm pits, ;;;;;;;;front let panel, ;;;;;;;;;;;;;pocket bags, lam pocket, hood facing, all zippers, ;all, ;both cuffs, neck, ;;;;;No;Yes;1014;30% Discount;shell;manufacturing_issueANDmisuse;9;above;fabric_failureANDconstruction_failure;damaged
140;11/14/19;705785;1;EN;Australia;10;M;Atlantis ar jacket women;2014;2_Good;No;WBW 3L Membrane;shoulders, ;;;;;;;;;;;;;;;;;;;;;;;;;;;;No;Yes;1000;Replacement;shell;manufacturing_issue;5;above;fabric_failure;notmisused
178;11/20/19;705797;1;EN;Australia;10;M;Boreal sl jacket women;2010;2_Good;No;WBW 2L Membrane;;;;;;;;;;;;;;;;;;;;;;neckpad, ;all, ;neck, ;;;;;No;Yes;8;Replacement;shell;manufacturing_issue;9;below;construction_failure;notmisused
179;11/20/19;705827;1;EN;Australia;10;XS;Boreal ar jacket women;2007;2_Good;No;WBW 3L Membrane;;;;;;;;;;;;;;;;;neck, ;;;;;lining both cuffs, pockt bags, laminate pocket, hood facing, ;all, ;both cuffs, neck, right pocket bag donuts, ;;;;;No;Yes;8;Repair;shell;manufacturing_issueANDmisuse;12;below;construction_failure;contaminated
129;11/13/19;705838;1;EN;Australia;10;L;Atlantis sl jacket men;2012;2_Good;No;WBW 2L Membrane;;;;;;;;;;;;;;;;;;;;;;;all, ;neck, ;;;;;No;Yes;5;Replacement;shell;manufacturing_issue;7;below;construction_failure;notmisused
82;11/5/19;706257;1;EN;Australia;10;S;Ionian ar jacket women;2005;1_Used;No;WBW 3L Membrane;;;;;;;;;;;;;;;;;;;main zipper;;;all zippers, neck pad, hood facing, pocket bags, ;all,;;;;;;No;Yes;9;30% Discount;shell;manufacturing_issue;14;below;construction_failure;notmisused
167;11/22/19;706310;1;EN;Australia;10;S;Boreal ar jacket men;2015;2_Good;No;WBW 3L Membrane;shoulders,;;;;;;;;;;;;;;;;;;;;;;;;;;;;No;Yes;1000;Replacement;shell;manufacturing_issue;4;above;fabric_failure;notmisused
189;11/21/19;706346;1;EN;Australia;10;S;Ionian ar jacket men;2016;2_Good;No;WBW 3L Membrane;neck, font panels, ;;;;;;;;;;;;;;;;;;main zipper, ;;;;;;;;;;No;Yes;1003;Replacement;shell;manufacturing_issue;3;above;fabric_failureANDconstruction_failure;notmisused
185;11/21/19;706397;1;EN;Australia;10;L;Boreal lt hybrid jacket men;2015;2_Good;No;WBW 2L Membrane;;;;;;;;;;;;;;;;;;;;;;;all, ;neck, ;;;;;No;Yes;5;Replacement;shell;manufacturing_issue;4;below;construction_failure;notmisused
153;11/18/19;706419;1;EN;Australia;10;S;Atlantis ar jacket men;2018;2_Good;No;WBW 3L Membrane;;;;;;;;front left panel;;;;;;;;;;;;;;;;;;;;;No;No;3;Replacement;shell;misuse;1;below;nofailure;damaged
206;11/25/19;706632;1;EN;Australia;10;L;Tasman lt women;2016;3_Excellent;No;Down Loft;;;;;;;;front riht panel, ;;;;;;;;;;;;;;;;;;;;;No;Yes;3;50% Discount;shell;misuse;3;below;nofailure;damaged
145;11/15/19;706648;1;EN;Australia;10;S;Boreal sl hybrid jacket women;2017;3_Excellent;No;WBW 2L Membrane;;;shoulders,;;;;;;;;;;;;;;;;;;;;;;;;;;No;Yes;0;Repair;shell;manufacturing_issue;2;below;fabric_failure;notmisused
142;11/14/19;706690;1;EN;Australia;10;M;Hudson jacket men;2014;2_Good;No;WBW 3L Membrane;front panels, neck, hood, arm pit, ;;;;;;;;;;;;;;;;;neck, hood, ;;;;;;;;;;;No;Yes;1000;Replacement;shell;manufacturing_issueANDmisuse;5;above;fabric_failure;contaminated
177;11/20/19;706734;1;EN;Australia;10;S;Mediterranean lt women;2018;2_Good;No;K Fleece;;;;;;;;;;;;;;;;;;;main zipper,;;;;;;;;;;No;Yes;3;Repair;shell;manufacturing_issue;1;below;construction_failure;notmisused
183;11/21/19;706736;1;EN;Australia;10;M;Boreal ar jacket men;2010;2_Good;No;WBW 3L Membrane;hood, ;;;;;;;;;;;;;;;;;neck, colar,;;;;pocket bags, laminated pockets, neck pad,;all, ;neck, pocket bags, both cuffs, ;;;;;No;Yes;1008;30% Discount;shell;manufacturing_issueANDmisuse;9;above;fabric_failureANDconstruction_failure;contaminated
141;11/14/19;706764;1;EN;Australia;10;S;Atlantis ar jacket women;2014;1_Used;No;WBW 3L Membrane;shoulders, ;;;;;;;left panel, ;;;;;;hem, ;;;;;main zipper, ;;;;;waist, ;;;;;No;Yes;1011;30% Discount;shell;manufacturing_issueANDmisuse;5;above;fabric_failureANDconstruction_failure;damaged
162;11/18/19;706768;1;EN;Australia;10;M;Levantine mx men;2012;2_Good;No;K Fleece;;;;;;;;;;;;;;;;;;;;;;laminated pocket arm, ;hem drew cord, ;;;;;;No;Yes;6;Repair;shell;manufacturing_issue;7;below;construction_failure;notmisused
139;11/14/19;707057;1;EN;Australia;10;M;Atlantis sl hybrid jacket men;2012;2_Good;No;WBW 2L Membrane;;;;;;;;;;;;;;;;;;;;;;;all,;neck, ;;;;;No;No;5;Replacement;shell;manufacturing_issue;7;below;construction_failure;notmisused
259;12/2/19;707294;1;EN;Australia;10;XL;Boreal ar jacket men;2014;1_Used;No;WBW 3L Membrane;boh cuff, ;;;;;;;;;lower right front panel, lower left front panel, hem, ;colar back, ;;;;;;;neck, ;;left pocket zipper;;all zippers, ;;both cuffs, neck, ;;;;;No;Yes;1010;30% Discount;shell;manufacturing_issueANDmisuse;5;above;fabric_failureANDconstruction_failure;damagedandcontaminated
137;11/14/19;707302;1;EN;Australia;10;M;Tasman lt men;2018;2_Good;No;Down Loft;;;;;;;;;;;arm pit,;;;pocket bag, ;;;;;;;zipper slider missing ,;;;;;;;;No;No;7;50% Discount;shell;manufacturing_issueANDmisuse;1;below;construction_failure;damaged
148;11/15/19;707338;1;EN;Australia;10;L;Atlantis lt jacket men;2013;2_Good;No;WBW 3L Membrane;hood, neck, ;;;;;;;;;;;;;;;;;neck,;;;;;;;;;;;No;Yes;1000;Replacement;shell;manufacturing_issueANDmisuse;6;above;fabric_failure;contaminated
136;11/14/19;707340;1;EN;Australia;10;XL;Tasman lt men;2018;1_Used;Yes ;Down Loft;;;;;;;;inside panel, left sleeve,, ;;;;;;;;;;;main zipper,;;;;;;;;;;No;No;6;Repair;shell;manufacturing_issueANDmisuse;1;below;construction_failure;damaged
161;11/18/19;707346;1;EN;Australia;10;L;Reseer coat men;2017;2_Good;No;WBW 3L Membrane;;;;;;;;;left arm, front panel, right arm, ;;;;;;;;;;;;;;;;;;;;No;No;6;50% Discount;shell;misuse;2;below;nofailure;damaged
160;11/18/19;707382;1;EN;Australia;10;S;Boreal ar jacket men;2010;2_Good;No;WBW 3L Membrane;;;;;;;;;;;;;;;;;;;;;;hood facing, pocket bags, laminated pockets, ;all, ;both cuffs, ;;;;;No;Yes;8;Repair;shell;manufacturing_issue;9;below;construction_failure;notmisused
254;12/2/19;707415;1;EN;Australia;10;XL;Boreal ar jacket men;2014;1_Used;No;WBW 3L Membrane;;;;;;;;;;;;hood, upper back, left arm pit zipper, ;;;;;;;;;;;;;;;;;No;Yes;6;30% Discount;shell;misuse;5;below;nofailure;damaged
164;11/19/19;707444;1;EN;Australia;10;M;Bering sv jacket men;2014;2_Good;No;WBW 3L Membrane;;;;;;;;;;;at both cuffs, ;;;;;;;;;main zipper slider, ;;;;;;;;;No;Yes;5;Repair;shell;manufacturing_issueANDmisuse;5;below;construction_failure;damaged
694;2/10/20;707457;1;EN;Australia;2;M;Mediterranean sv women;2013;2_Good;No;WBW 3L Membrane;;;;;;;;;;;;;;;;;;;;;main zipper;;;;;;;;No;Yes;1;Repair;shell;manufacturing_issue;7;below;construction_failure;notmisused
208;11/25/19;707495;1;EN;Australia;10;S;Boreal sv jacket men;2018;2_Good;No;WBW 3L Membrane;arm pit, left front panel pocket, ;;;;;;cuffs, ;;;;;;;;;;;;;;;;;;;;;;No;Yes;1000;Replacement;shell;manufacturing_issueANDmisuse;1;above;fabric_failure;damaged
135;11/14/19;707539;1;EN;Australia;10;L;Clunei men;2014;2_Good;No;Down Loft;;;;;;;;;right sleeve, ;;;;;;;;;;;;;;;;;;;;No;No;6;30% Discount;shell;misuse;5;below;nofailure;damaged
138;11/14/19;707554;1;EN;Australia;10;S;Boreal lt hybrid jacket women;2013;2_Good;No;WBW 2L Membrane;;Back,;;;;;;;;;;;;;;;;;;;;;hem, ;meck, ;;;;;No;No;1005;Replacement;shell;manufacturing_issue;6;above;fabric_failureANDconstruction_failure;notmisused
168;11/19/19;707610;1;EN;Australia;10;XL;Atlantis sv jacket men;2018;2_Good;No;WBW 3L Membrane;;;;;;;lower back, ;;;;;;;;;all over, ;;;;;;chest pocket zippers, ;;;;;;;No;No;3;50% Discount;shell;manufacturing_issueANDmisuse;1;below;construction_failure;damagedandcontaminated
165;11/19/19;707634;1;EN;Australia;10;L;Boreal sl jacket women;2009;2_Good;No;WBW 2L Membrane;;;;;;;;;;;;;;;;;;;;;;;all, ;;;;;;No;Yes;3;Replacement;shell;manufacturing_issue;10;below;construction_failure;notmisused
268;12/3/19;707681;1;EN;Australia;10;L;Boreal sl jacket men;2013;2_Good;No;WBW 2L Membrane;;;;;;;;;;;;;;;;;;;;;;hood facing, collar, ;;;;;;;No;Yes;3;Replacement;shell;manufacturing_issue;6;below;construction_failure;notmisused
163;11/19/19;707685;1;EN;Australia;10;L;Boreal ar jacket men;2011;2_Good;No;WBW 3L Membrane;hood, neck, arm pit,;;;;;;;;;;;;;;;;everywhere,;;main zipper,;;right hand pocket, ;hood facing, all zippers, poickte bags, laminated pocket;all,;neck, donut pocket bags,;;;;;No;Yes;1012;Replacement;shell;manufacturing_issueANDmisuse;8;above;fabric_failureANDconstruction_failure;contaminated
234;11/28/19;707734;1;EN;Australia;10;S;Marin jacket women;2017;2_Good;No;Down Loft;;;;upper back, upper right front panel, upper left front panel, lower right front panel, lower left front panel, lower back, ;;;;;;;;;;;;;;;;;;;;;;;;;Yes;Yes;1000;Replacement;shell;manufacturing_issue;2;above;fabric_failure;notmisused
251;11/29/19;707736;1;EN;Australia;10;L;Cumulus sl jacket men;2002;2_Good;No;WBW 2L Membrane;;;;;;;;;;;;;;;;;;;;;;;all 70D;;;;;;No;Yes;3;30% Discount;shell;manufacturing_issue;17;below;construction_failure;notmisused
213;11/26/19;707741;1;EN;Australia;10;L;Boreal lt jacket women;2018;2_Good;No;WBW 3L Membrane;;;;;;;;;;;left cuff, ;;;;;;;;;;;;;;;;;;No;No;3;50% Discount;shell;misuse;1;below;nofailure;damaged
214;11/26/19;707947;1;EN;Australia;10;L;Mediterranean lt men;2018;2_Good;No;K Fleece;;;;;;;;;front panel, sleeve right, ;;;;;;;;;;;;;;;;;;;;No;Yes;6;50% Discount;shell;misuse;1;below;nofailure;damaged
471;1/8/20;707965;1;EN;New Zealand;10;L;Ionian ar jacket men;2008;2_Good;No;WBW 3L Membrane;right arm, ;;;;;;;;;;;;;;;;;;main zipper, ;;;hood facing, lam pocket cuff lining, pocket bags, all zippers;all, including donuts in pocket bags, ;neck, pocket bag donuts, arm pit donuts, ;;;;;No;Yes;1011;30% Discount;shell;manufacturing_issue;12;above;fabric_failureANDconstruction_failure;notmisused
203;11/25/19;708191;1;EN;Australia;10;S;Ionian ar jacket men;2008;2_Good;No;WBW 3L Membrane;;;;;;;;;;;left cuff,;;;;;;neck, ;;main zipper,;;;both cuffs, all zippers, hood facing, pocket bags, laminated pocket, ,;all 70D,;boths cuffs, pocket donuts, ;;;;;No;Yes;14;30% Discount;shell;manufacturing_issueANDmisuse;11;above;construction_failure;damagedandcontaminated
204;11/25/19;708200;1;EN;Australia;10;XS;Boreal ar jacket men;2016;2_Good;No;WBW 3L Membrane;at cuffs, ;;;;;;;;;inner front right panel, ;;;;;;;;;;;;;;pocket bag donuts, ;;;;;No;Yes;1002;Replacement;shell;manufacturing_issueANDmisuse;3;above;fabric_failureANDconstruction_failure;damaged
220;11/26/19;708217;1;EN;Australia;10;M;Ionian ar jacket women;2014;2_Good;No;WBW 3L Membrane;hood, upper back, left shoulder, right shoulder, right arm pit, left arm pit, ;;;;;;;;;;;;;;;;;neck,;;;;;;neck, ;;;;;No;Yes;1002;Replacement;shell;manufacturing_issueANDmisuse;5;above;fabric_failureANDconstruction_failure;contaminated
154;11/18/19;708320;1;EN;Australia;10;L;Tasman sl women;2017;3_Excellent;No;Down Loft;;;;at the back, ;;;;;;;;;;;;;;;;;;;;;;;;;Yes;Yes;1000;Replacement;shell;manufacturing_issue;2;above;fabric_failure;notmisused
